,id,name,title,unit_id,exposee_id,project_id,street,house_number,district,region,zip_code,city,country,address,short_address,lat,lng,number_of_rooms,price,base_rent,living_space,number_of_bed_rooms,number_of_bath_rooms,property_space_value,images,status,free_from,rented
8,228177,Aronsstraße 46 - Berlin,,,,,Aronsstraße,46,Neukölln,Berlin,12057,Berlin,DEU,"Aronsstraße 46, 12057 Berlin, Deutschland","Aronsstraße 46, 12057 Berlin",52.4767484,13.4643036,4.0,,0.0,94.0,,2.0,94.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
9,213329,Pfarrsiedlung 16 - Berlin,,,,,Pfarrsiedlung,16,Rudow,Berlin,12355,Berlin,DEU,"Pfarrsiedlung 16, 12355 Berlin, Deutschland","Pfarrsiedlung 16, 12355 Berlin",,,3.0,,0.0,80.0,,,80.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
10,217420,Prinz-Adalbert-Weg 10 - Berlin,,,,,Prinz-Adalbert-Weg,10,Spandau,Berlin,13589,Berlin,DEU,"Prinz-Adalbert-Weg 10, 13589 Berlin, Deutschland","Prinz-Adalbert-Weg 10, 13589 Berlin",,,5.0,,0.0,120.0,,,120.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
11,219884,Glindower Weg 22 - Werder,,,,,Glindower Weg,22,,,14542,Werder,DEU,"Glindower Weg 22, 14542 Werder, Deutschland","Glindower Weg 22, 14542 Werder",,,4.0,,0.0,100.0,,2.0,100.0,"[{'original': 'https://images.propstack.de/photos/f6QuXaneHuw83c2ZcKcFkKDG/photo/g6RnMqrNfzDMZaFYWZhoqj8o/28488bd4c5564c3136f0335c2a51d884.jpg', 'big': 'https://images.propstack.de/photos/f6QuXaneHuw83c2ZcKcFkKDG/photo/g6RnMqrNfzDMZaFYWZhoqj8o/big_28488bd4c5564c3136f0335c2a51d884.jpg', 'medium': 'https://images.propstack.de/photos/f6QuXaneHuw83c2ZcKcFkKDG/photo/g6RnMqrNfzDMZaFYWZhoqj8o/medium_28488bd4c5564c3136f0335c2a51d884.jpg', 'thumb': 'https://images.propstack.de/photos/f6QuXaneHuw83c2ZcKcFkKDG/photo/g6RnMqrNfzDMZaFYWZhoqj8o/thumb_28488bd4c5564c3136f0335c2a51d884.jpg', 'tags': None, 'is_floorplan': False, 'is_private': False}]","{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
12,206754,Seesener Straße 18 - Berlin,,,,,Seesener Straße,18,Charlottenburg,Berlin,10709,Berlin,DEU,"Seesener Straße 18, 10709 Berlin, Deutschland","Seesener Straße 18, 10709 Berlin",52.4925771,13.2965142,4.0,,0.0,140.0,,2.0,140.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
13,203869,Suarezstraße 60 - Berlin,,,,,Suarezstraße,60,Charlottenburg,Berlin,14057,Berlin,DEU,"Suarezstraße 60, 14057 Berlin, Deutschland","Suarezstraße 60, 14057 Berlin",52.5066358,13.2949224,,,0.0,0.0,,,0.0,[],{},,False
14,209981,Lauchstädter Weg 9 - Berlin,,,,,Lauchstädter Weg,9,Rudow,Berlin,12355,Berlin,DEU,"Lauchstädter Weg 9, 12355 Berlin, Deutschland","Lauchstädter Weg 9, 12355 Berlin",52.41651719999999,13.4789239,8.0,,0.0,200.0,,,200.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
15,206671,Seeburger Straße 19 - Berlin,,,,,Seeburger Straße,19,Spandau,Berlin,13581,Berlin,DEU,"Seeburger Straße 19, 13581 Berlin, Deutschland","Seeburger Straße 19, 13581 Berlin",52.52785429999999,13.187571,2.0,,0.0,50.0,,,50.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
16,203212,Girlitzweg 7 - Berlin,,,,,Girlitzweg,7,Rudow,,12357,Berlin,DEU,"Girlitzweg 7, 12357 Berlin, Deutschland","Girlitzweg 7, 12357 Berlin",52.43545779999999,13.4741557,5.0,,0.0,150.0,,,150.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
17,219101,Buschower Weg 58 - Berlin,,,,,Buschower Weg,58,Staaken,Berlin,13591,Berlin,DEU,"Buschower Weg 58, 13591 Berlin, Deutschland","Buschower Weg 58, 13591 Berlin",52.5216652,13.1321412,8.0,,0.0,190.0,,,190.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
18,218789,Artemisstraße 25 - Berlin,,,,,Artemisstraße,25,Waidmannslust,Berlin,13469,Berlin,DEU,"Artemisstraße 25, 13469 Berlin, Deutschland","Artemisstraße 25, 13469 Berlin",52.6084316,13.3164386,7.0,,0.0,260.0,,,260.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
19,254183,Fregestraße 64 - Berlin,,,,,Fregestraße,64,Friedenau,Berlin,12159,Berlin,DEU,"Fregestraße 64, 12159 Berlin, Deutschland","Fregestraße 64, 12159 Berlin",52.4689357,13.3374996,4.0,,0.0,129.0,,,129.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
0,213670,Biedenkopfer Straße 2 - Berlin,,,,,Biedenkopfer Straße,2,Reinickendorf,Berlin,13507,Berlin,DEU,"Biedenkopfer Straße 2, 13507 Berlin, Deutschland","Biedenkopfer Straße 2, 13507 Berlin",52.5797389,13.2849684,4.0,,0.0,120.0,,1.0,120.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
1,208853,Richterstraße 15 - Berlin,,,,,Richterstraße,15,Mariendorf,Berlin,12105,Berlin,DEU,"Richterstraße 15, 12105 Berlin, Deutschland","Richterstraße 15, 12105 Berlin",52.44140999999999,13.38433,2.5,,0.0,70.0,,1.0,70.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
2,239212,Gisela Berger  - Berlin,,,,,Gisela Berger,,,,10785,Berlin,DEU,"Gisela Berger , 10785 Berlin, Deutschland","Gisela Berger , 10785 Berlin",,,3.0,,0.0,73.0,,,73.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
3,226364,Logauweg 7 - Berlin,,,,,Logauweg,7,Köpenick,Berlin,12557,Berlin,DEU,"Logauweg 7, 12557 Berlin, Deutschland","Logauweg 7, 12557 Berlin",52.42026000000001,13.5938,4.0,,0.0,127.0,,2.0,127.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
